topic,top_words
1,按摩 | 好吃 | 日本 | 不错 | 清水 | 那种 | 一下 | 应该 | 味道 | 感觉 | 东西 | 料理 | 有点 | 凶手 | 下来
2,工作 | 问题 | 一下 | 时间 | 东西 | 公司 | 应该 | 感觉 | 生活 | 老板 | 以后 | 一种 | 小时 | 选择 | 比较
3,露丝 | 妹妹 | 房子 | 离开 | 小美 | 找到 | 工作 | 父亲 | 哥哥 | 生活 | 说出 | 男人 | 回到 | 年前 | 看着
4,管道 | 分体 | 应该 | 水冷 | 宙斯 | 一下 | 上面 | 东西 | 液体 | 显卡 | 这波 | 位置 | 机箱 | 冷排 | 比较
5,一個 | 一下 | 怎麼 | 其實 | 不會 | 一點 | 這些 | 這是 | 我覺 | 一樣 | 你們 | 那麼 | 特別 | 這邊 | 出來
6,工作 | 一個 | 公司 | 社會 | 資本 | 生活 | 工人 | 中國 | 開始 | 一種 | 制度 | 這些 | 經濟 | 教育 | 存在
